السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديين (إناث),عدد العاملين الغير سعوديين,عدد الغير سعوديين (ذكور),عدد الغير سعوديين (إناث),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2023,2,منطقة مكة المكرمة,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,56.0,677.0,403.0,274.0,319.0,307.0,12.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متوسطة,10.0,751.0,494.0,257.0,163.0,153.0,10.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,1.0,18.0,17.0,1.0,4.0,4.0,0.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,متناهية الصغر,174.0,120.0,77.0,43.0,275.0,267.0,8.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,صغيرة,69.0,546.0,315.0,231.0,701.0,686.0,15.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,متوسطة,19.0,1008.0,640.0,368.0,734.0,717.0,17.0,,,,,,,,,,
2023,2,المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,كبيرة,3.0,1103.0,657.0,446.0,198.0,182.0,16.0,,,,,,,,,,
2023,2,منطقة الباحة,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,متناهية الصغر,5.0,2.0,2.0,0.0,7.0,7.0,0.0,,,,,,,,,,
2023,2,منطقة الجوف,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,متناهية الصغر,9.0,7.0,7.0,0.0,8.0,8.0,0.0,,,,,,,,,,
2023,2,منطقة الحدود الشمالية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,متناهية الصغر,4.0,0.0,0.0,0.0,11.0,11.0,0.0,,,,,,,,,,
